;Name;MovieType;Director;Duration;Year;Country;Worldwide;Scenarist;Month;Season;Top_Director
1;Inception;Bilim Kurgu;Christopher Nolan;148;2010;Multi Nation;$828,258,695;Christopher Nolan;Temmuz;summer;1
3;The Prestige;Bilim Kurgu;Christopher Nolan;130;2006;Multi Nation;$109,676,311;"Christopher Nolan
                                        ";Aral?k;winter;1
6;V For Vendetta;Bilim Kurgu;James McTeigue;134;2006;Multi Nation;$132,511,035;"Lilly Wachowski
                                        ";Mart;spring;0
7;The Lord of the Rings: The Return of the King;Aksiyon;Peter Jackson;263;2003;ABD;$1,140,682,011;"Fran Walsh
                                        ";Aral?k;winter;1
9;The Lord of the Rings: The Two Towers;Aksiyon;Peter Jackson;235;2002;ABD;$936,689,735;"Fran Walsh
                                        ";Aral?k;winter;1
10;A Beautiful Mind;Dram;Ron Howard;135;2001;ABD;$313,542,341;Akiva Goldsman;Mart;spring;0
11;The Curious Case Of Benjamin Button;Dram;David Fincher;162;2008;ABD;$335,802,786;"Eric Roth
                                        ";?ubat;winter;1
12;I Am Legend;Bilim Kurgu;Francis Lawrence;100;2007;ABD;$585,410,052;"Mark Protosevich
                                        ";Ocak;winter;0
13;The Dark Knight;Aksiyon;Christopher Nolan;152;2008;Multi Nation;$1,003,845,358;"Christopher Nolan
                                        ";Temmuz;summer;1
14;Pirates Of The Caribbean: The Curse Of The Black Pearl;Aksiyon;Gore Verbinski;143;2003;ABD;$654,264,015;"Ted Elliott
                                        ";Ekim;autumn;0
15;The Lord of the Rings: The Fellowship of the Ring;Aksiyon;Peter Jackson;228;2001;ABD;$880,839,846;"Fran Walsh
                                        ";Eylül;autumn;1
16;Avatar;Bilim Kurgu;James Cameron;162;2009;Multi Nation;$2,743,577,587;James Cameron;Eylül;autumn;1
18;Pirates of the Caribbean: Dead Man's Chest;Aksiyon;Gore Verbinski;151;2006;ABD;$1,066,179,725;"Ted Elliott
                                        ";Temmuz;summer;0
19;Pirates of the Caribbean: At World's End;Aksiyon;Gore Verbinski;169;2007;ABD;$960,996,492;"Ted Elliott
                                        ";May?s;spring;0
20;The Pianist;Dram;Roman Polanski;150;2002;Multi Nation;$120,072,577;Ronald Harwood;?ubat;winter;0
21;Gladiator;Aksiyon;Ridley Scott;171;2000;Multi Nation;$9,223,441;"John Logan
                                        ";May?s;spring;1
23;3 Idiots;Dram;Rajkumar Hirani;170;2009;Hindistan;$60,262,836;"Rajkumar Hirani
                                        ";Kas?m;autumn;0
24;Twilight;Dram;Catherine Hardwicke;122;2008;ABD;$15,055,091;Melissa Rosenberg;Ocak;winter;0
25;The Butterfly Effect;Bilim Kurgu;"Eric Bress
                                        ,                                                                                                                     J. Mackye Gruber";113;2004;Multi Nation;$96,693,417;"Eric Bress
                                        ";Nisan;spring;#YOK
26;Slumdog Millionaire;Dram;"Danny Boyle
                                        ,                                                                                                                     Loveleen Tandan";120;2008;?ngiltere;$378,410,113;"Simon Beaufoy
                                        ";?ubat;winter;#YOK
27;Harry Potter and the Goblet of Fire;Fantastik;Mike Newell;157;2005;Multi Nation;$895,921,036;"J.K. Rowling
                                        ";Kas?m;autumn;0
28;Harry Potter and the Deathly Hallows: Part II;Fantastik;David Yates;130;2011;Multi Nation;#YOK;#YOK;#YOK;#YOK;0
29;The Pursuit of Happyness;Dram;Gabriele Muccino;117;2006;ABD;$307,127,625;Steve Conrad;Mart;spring;0
30;Babam ve O?lum;Dram;Ça?an Irmak;108;2005;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
31;Shutter Island;Dram;Martin Scorsese;138;2010;ABD;$294,804,195;Laeta Kalogridis;Mart;spring;1
32;Blood Diamond;Aksiyon;Edward Zwick;143;2006;Multi Nation;$171,720,398;"Charles Leavitt
                                        ";?ubat;winter;0
33;Harry Potter and the Half-Blood Prince;Fantastik;David Yates;153;2009;Multi Nation;$933,959,197;Steve Kloves;Temmuz;summer;0
35;Harry Potter and the Order of the Phoenix;Fantastik;David Yates;138;2007;Multi Nation;$941,676,843;Michael Goldenberg;A?ustos;summer;0
36;Troy;Aksiyon;Wolfgang Petersen;196;2004;Multi Nation;$497,409,852;David Benioff;May?s;spring;0
38;The Illusionist;Dram;Neil Burger;110;2006;ABD;$87,892,388;"Neil Burger
                                        ";A?ustos;summer;0
39;Harry Potter and The Prisoner of Azkaban;Fantastik;Alfonso Cuarón;141;2004;Multi Nation;$795,634,069;Steve Kloves;Haziran;summer;0
40;300;Aksiyon;Zack Snyder;117;2006;Multi Nation;$456,068,181;"Zack Snyder
                                        ";Mart;spring;0
41;Harry Potter and the Sorcerer's Stone;Fantastik;Chris Columbus;159;2001;Multi Nation;$974,755,371;"J.K. Rowling
                                        ";?ubat;winter;0
42;50 First Dates;Komedi;Peter Segal;99;2004;ABD;$198,413,428;George Wing;Nisan;spring;0
43;Harry Potter and the Deathly Hallows: Part I;Fantastik;David Yates;146;2010;Multi Nation;#YOK;#YOK;#YOK;#YOK;0
44;Ice Age;Animasyon;"Carlos Saldanha
                                        ,                                                                                                                     Chris Wedge";81;2002;ABD;$383,257,136;"Michael J. Wilson
                                        ";Ocak;winter;#YOK
45;The Twilight Saga: New Moon;Dram;Chris Weitz;131;2009;ABD;$709,827,462;Melissa Rosenberg;Kas?m;autumn;0
46;Eternal Sunshine of the Spotless Mind;Bilim Kurgu;Michel Gondry;108;2004;ABD;$74,036,715;"Michel Gondry
                                        ";May?s;spring;0
47;Wanted;Aksiyon;Timur Bekmambetov;110;2008;Multi Nation;$342,463,063;"Chris Morgan
                                        ";Haziran;summer;0
48;Harry Potter and the Chamber of Secrets;Fantastik;Chris Columbus;175;2002;Multi Nation;$878,979,634;Steve Kloves;Kas?m;autumn;0
52;Ice Age: Dawn of the Dinosaurs;Animasyon;"Carlos Saldanha
                                        ,                                                                                                                     Mike Thurmeier";94;2009;ABD;$886,686,817;"Michael Berg
                                        ";Temmuz;summer;#YOK
53;Pirates Of The Caribbean: On Stranger Tides;Aksiyon;Rob Marshall;137;2011;Multi Nation;$1,045,713,802;"Ted Elliott
                                        ";May?s;spring;0
54;The Twilight Saga: Eclipse;Dram;David Slade;124;2010;ABD;$698,491,347;"Melissa Rosenberg
                                        ";Haziran;summer;0
55;The Departed;Dram;Martin Scorsese;151;2006;Multi Nation;$291,465,034;"William Monahan
                                        ";Kas?m;autumn;1
56;Yes Man;Komedi;Peyton Reed;104;2008;ABD;$223,241,637;"Nicholas Stoller
                                        ";Ocak;winter;0
57;P.S. I Love You;Dram;Richard LaGravenese;126;2007;ABD;$156,835,339;"Richard LaGravenese
                                        ";?ubat;winter;0
58;Catch Me If You Can;Dram;Steven Spielberg;190;2002;ABD;$352,114,312;Jeff Nathanson;Ocak;winter;1
59;Sherlock Holmes: A Game Of Shadows;Aksiyon;Guy Ritchie;129;2011;Multi Nation;$543,848,418;"Michele Mulroney
                                        ";Aral?k;winter;0
61;Ice Age 2: The Meltdown;Animasyon;Carlos Saldanha;91;2006;ABD;#YOK;#YOK;#YOK;#YOK;0
62;The Twilight Saga: Breaking Dawn Part 1;Fantastik;Bill Condon;117;2011;ABD;#YOK;#YOK;#YOK;#YOK;0
63;Transformers;Bilim Kurgu;Michael Bay;143;2007;ABD;$709,709,780;"Alex Kurtzman
                                        ";Temmuz;summer;0
65;The Hangover;Komedi;Todd Phillips;100;2009;Multi Nation;$468,812,793;"Jon Lucas
                                        ";Temmuz;summer;0
66;Mr. & Mrs. Smith;Aksiyon;Doug Liman;120;2005;Multi Nation;$487,287,646;Simon Kinberg;Haziran;summer;0
67;Saw;Gizem;James Wan;103;2004;ABD;$103,096,345;"Leigh Whannell
                                        ";Ekim;autumn;0
68;The Notebook;Dram;Nick Cassavetes;123;2004;ABD;$117,812,623;#YOK;#YOK;#YOK;0
70;Kabaday?;Aksiyon;Ömer Varg?;140;2007;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
72;The Number 23;Gerilim;Joel Schumacher;98;2007;Multi Nation;$77,677,553;Fernley Phillips;Mart;spring;0
73;The Dark Knight Rises;Aksiyon;Christopher Nolan;165;2012;ABD;$1,084,939,099;"Christopher Nolan
                                        ";Temmuz;summer;1
75;A?k Tesadüfleri Sever;Dram;Ömer Faruk Sorak;118;2011;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
76;2012;Bilim Kurgu;Roland Emmerich;158;2009;ABD;$769,679,473;"Roland Emmerich
                                        ";Kas?m;autumn;0
77;Le Fabuleux destin d'Amélie Poulain;Komedi;Jean Pierre Jeunet;122;2001;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
78;Iron Man;Bilim Kurgu;Jon Favreau;127;2008;ABD;$585,366,247;"Stan Lee
                                        ";May?s;spring;0
79;The Avengers;Bilim Kurgu;Joss Whedon;145;2012;ABD;$23,384,939;"Zak Penn
                                        ";May?s;spring;0
80;Charlie And The Chocolate Factory;Aile;Tim Burton;115;2005;Multi Nation;$474,968,763;John August;A?ustos;summer;0
81;Fast Five;Aksiyon;Justin Lin;130;2011;ABD;$626,137,675;"Chris Morgan
                                        ";Nisan;spring;0
82;Hancock;Aksiyon;Peter Berg;92;2008;ABD;$629,443,428;"Vince Gilligan
                                        ";Temmuz;summer;0
83;Perfume: The Story of a Murderer;Dram;Tom Tykwer;147;2006;Multi Nation;$135,039,924;"Tom Tykwer
                                        ";?ubat;winter;0
85;Click;Dram;Frank Coraci;107;2006;ABD;$240,685,326;"Steve Koren
                                        ";Eylül;autumn;0
86;Prince Of Persia: The Sands Of Time;Aksiyon;Mike Newell;116;2010;ABD;$336,365,676;"Boaz Yakin
                                        ";May?s;spring;0
87;Sweeney Todd: The Demon Barber of Fleet Street;Dram;Tim Burton;116;2007;Multi Nation;$153,383,627;"John Logan
                                        ";?ubat;winter;0
88;Deja Vu;Bilim Kurgu;Tony Scott;126;2006;Multi Nation;$180,557,550;"Terry Rossio
                                        ";Ocak;winter;0
89;Spider-Man 3;Aksiyon;Sam Raimi;195;2007;ABD;$894,983,373;"Sam Raimi
                                        ";May?s;spring;0
90;Law Abiding Citizen;Dram;F. Gary Gray;109;2009;Multi Nation;$127,944,208;Kurt Wimmer;Ocak;winter;0
91;Memento;Gerilim;Christopher Nolan;113;2000;ABD;$39,723,096;"Christopher Nolan
                                        ";Temmuz;summer;1
92;The Last Samurai;Aksiyon;Edward Zwick;154;2003;Multi Nation;$454,627,263;"Edward Zwick
                                        ";?ubat;winter;0
93;Black Swan;Dram;Darren Aronofsky;108;2010;ABD;$329,398,046;"Mark Heyman
                                        ";?ubat;winter;0
94;GORA;Bilim Kurgu;Ömer Faruk Sorak;123;2004;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
95;Spider-Man;Aksiyon;Sam Raimi;189;2002;ABD;$821,708,551;"David Koepp
                                        ";Haziran;summer;0
96;The Hobbit: An Unexpected Journey;Aksiyon;Peter Jackson;169;2012;ABD;$1,017,003,568;"Guillermo del Toro
                                        ";Aral?k;winter;1
97;The Fast and the Furious: Tokyo Drift;Aksiyon;Justin Lin;104;2006;Multi Nation;$158,964,610;"Chris Morgan
                                        ";Temmuz;summer;0
98;Seven Pounds;Dram;Gabriele Muccino;123;2008;ABD;$169,748,929;Grant Nieporte;Mart;spring;0
99;A.R.O.G;Bilim Kurgu;"Ali Taner Baltac?
                                        ,                                                                                                                     Cem Y?lmaz";127;2008;Türkiye;$22,212,369;#YOK;#YOK;#YOK;#YOK
100;Up;Animasyon;"Pete Docter
                                        ,                                                                                                                     Bob Peterson";96;2009;ABD;$735,099,082;"Pete Docter
                                        ";Ekim;autumn;#YOK
101;Awake;Gerilim;Joby Harold;84;2007;ABD;$32,730,062;Joby Harold;Mart;spring;0
102;Apocalypto;Aksiyon;Mel Gibson;139;2006;Multi Nation;$120,673,227;"Mel Gibson
                                        ";Mart;spring;0
103;Requiem For A Dream;Dram;Darren Aronofsky;102;2000;ABD;$7,390,108;"Darren Aronofsky
                                        ";Ekim;autumn;0
104;21;Dram;Robert Luketic;123;2008;ABD;$159,808,370;"Peter Steinfeld
                                        ";Haziran;summer;0
105;Angels And Demons;Gerilim;Ron Howard;138;2009;Multi Nation;#YOK;#YOK;#YOK;#YOK;0
106;17 Again;Komedi;Burr Steers;102;2009;ABD;$136,316,880;"Jason Filardi
                                        ";Haziran;summer;0
107;Iron Man 2;Bilim Kurgu;Jon Favreau;125;2010;ABD;$623,933,331;"Justin Theroux
                                        ";May?s;spring;0
109;Batman Begins;Aksiyon;Christopher Nolan;140;2005;Multi Nation;$373,443,774;"David S. Goyer
                                        ";Haziran;summer;1
110;Kill Bill Vol. 1;Aksiyon;Quentin Tarantino;111;2003;ABD;#YOK;#YOK;#YOK;#YOK;1
111;Taken;Aksiyon;Pierre Morel;94;2008;Multi Nation;$226,837,760;"Luc Besson
                                        ";May?s;spring;0
112;Bruce Almighty;Fantastik;Tom Shadyac;160;2003;ABD;$484,592,874;"Steve Koren
                                        ";Eylül;autumn;0
113;Jeux d'enfants / Love me If You Dare;Dram;Yann Samuell;93;2003;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
114;Transformers 2: Revenge Of The Fallen;Bilim Kurgu;Michael Bay;149;2009;ABD;#YOK;#YOK;#YOK;#YOK;0
115;Nefes: Vatan Sa?olsun;Aksiyon;Levent Semerci;128;2009;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
116;Resident Evil: Extinction;Bilim Kurgu;Russell Mulcahy;94;2007;Multi Nation;$147,717,833;Paul W.S. Anderson;Ekim;autumn;0
118;X-Men Origins: Wolverine;Bilim Kurgu;Gavin Hood;107;2009;ABD;$373,062,864;"David Benioff
                                        ";May?s;spring;0
119;Knowing;Bilim Kurgu;Alex Proyas;121;2009;Multi Nation;$183,658,498;"Juliet Snowden
                                        ";Nisan;spring;0
120;1408;Gerilim;Mikael Håfström;104;2007;ABD;$132,963,417;"Matt Greenberg
                                        ";Eylül;autumn;0
121;Constantine;Aksiyon;Francis Lawrence;121;2005;Multi Nation;$230,884,728;"Kevin Brodbin
                                        ";Mart;spring;0
122;Salt;Aksiyon;Phillip Noyce;100;2010;ABD;$293,503,354;Kurt Wimmer;A?ustos;summer;0
123;Fast and Furious;Aksiyon;Justin Lin;107;2009;Multi Nation;#YOK;#YOK;#YOK;#YOK;0
124;The Others;Gerilim;Alejandro Amenábar;101;2001;Multi Nation;$209,947,037;Alejandro Amenábar;Aral?k;winter;0
125;Sweet November;Dram;Pat O'Connor;119;2001;ABD;$65,754,228;"Herman Raucher
                                        ";Nisan;spring;0
126;Death Race;Bilim Kurgu;Paul W.S. Anderson;105;2008;Multi Nation;$76,014,335;Paul W.S. Anderson;Ekim;autumn;0
127;Alice in Wonderland;Aile;Tim Burton;108;2010;ABD;$1,025,467,110;Linda Woolverton;Mart;spring;0
128;127 Hours;Dram;Danny Boyle;94;2010;Multi Nation;$60,738,797;"Danny Boyle
                                        ";?ubat;winter;0
129;The Expendables;Aksiyon;Sylvester Stallone;103;2010;Multi Nation;$274,470,394;"Sylvester Stallone
                                        ";A?ustos;summer;0
130;The Hunger Games;Bilim Kurgu;Gary Ross;142;2012;ABD;$694,394,724;"Suzanne Collins
                                        ";Mart;spring;0
131;Resident Evil;Bilim Kurgu;Paul W.S. Anderson;100;2002;Multi Nation;$102,984,862;Paul W.S. Anderson;Eylül;autumn;0
132;Spider-Man 2;Aksiyon;Sam Raimi;202;2004;ABD;$788,618,317;"Alfred Gough
                                        ";Temmuz;summer;0
133;Orphan;Gerilim;Jaume Collet-Serra;122;2009;Multi Nation;$77,912,251;"Alex Mace
                                        ";Eylül;autumn;0
134;Ratatouille;Animasyon;"Brad Bird
                                        ,                                                                                                                     Jan Pinkava";111;2007;ABD;$623,726,085;"Brad Bird
                                        ";A?ustos;summer;#YOK
137;Resident Evil: Afterlife;Bilim Kurgu;Paul W.S. Anderson;97;2010;Multi Nation;$300,228,084;Paul W.S. Anderson;Eylül;autumn;0
141;The Tourist;Aksiyon;Florian Henckel von Donnersmarck;103;2010;Multi Nation;$278,780,441;"Florian Henckel von Donnersmarck
                                        ";Aral?k;winter;0
142;Final Destination;Korku;James Wong;98;2000;ABD;$112,880,294;"Glen Morgan
                                        ";Mart;spring;0
143;120;Dram;"Murat Saraço?lu
                                        ,                                                                                                                     Özhan Eren";114;2008;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
144;Into the Wild;Dram;Sean Penn;148;2007;ABD;$56,674,477;#YOK;#YOK;#YOK;#YOK
145;Transformers: The Dark of the Moon;Bilim Kurgu;Michael Bay;154;2011;ABD;#YOK;#YOK;#YOK;#YOK;0
146;Kingdom Of Heaven;Aksiyon;Ridley Scott;144;2005;Multi Nation;$218,122,627;William Monahan;May?s;spring;1
147;The Fast And The Furious;Aksiyon;Rob Cohen;106;2001;Multi Nation;$207,283,925;"David Ayer
                                        ";Kas?m;autumn;0
148;Saw 2;Korku;Darren Lynn Bousman;93;2005;ABD;#YOK;#YOK;#YOK;#YOK;0
149;The Amazing Spider-Man;Aksiyon;Marc Webb;136;2012;ABD;$757,930,663;"Stan Lee
                                        ";Temmuz;summer;0
150;The Ugly Truth;Komedi;Robert Luketic;96;2009;ABD;$205,298,907;"Karen McCullah Lutz
                                        ";Eylül;autumn;0
151;The Sorcerer's Apprentice;Aksiyon;Jon Turteltaub;109;2010;ABD;$215,283,742;"Lawrence Konner
                                        ";Temmuz;summer;0
152;Thor;Aksiyon;Kenneth Branagh;115;2011;ABD;$449,326,618;"Zack Stentz
                                        ";Nisan;spring;0
153;Ghost Rider;Aksiyon;Mark Steven Johnson;114;2007;ABD;$228,738,393;Mark Steven Johnson;?ubat;winter;0
154;Limitless;Bilim Kurgu;Neil Burger;105;2011;ABD;$161,849,455;"Leslie Dixon
                                        ";Mart;spring;0
156;Inglourious Basterds;Dram;Quentin Tarantino;153;2009;Multi Nation;$321,455,689;Quentin Tarantino;A?ustos;summer;1
157;The Day After Tomorrow;Bilim Kurgu;Roland Emmerich;124;2004;ABD;$552,639,571;Roland Emmerich;May?s;spring;0
158;Saw 3;Gerilim;Darren Lynn Bousman;108;2006;ABD;#YOK;#YOK;#YOK;#YOK;0
160;Saw 4;Gerilim;Darren Lynn Bousman;93;2007;ABD;#YOK;#YOK;#YOK;#YOK;0
161;The Da Vinci Code;Gerilim;Ron Howard;149;2006;ABD;$760,006,945;Akiva Goldsman;May?s;spring;0
162;Wall-E;Animasyon;Andrew Stanton;98;2008;ABD;#YOK;#YOK;#YOK;#YOK;0
163;Taare Zameen Par;Dram;Aamir Khan;165;2007;Hindistan;#YOK;#YOK;#YOK;#YOK;#YOK
165;Av Mevsimi;Gerilim;Yavuz Turgul;144;2010;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
166;Corpse Bride;Animasyon;"Tim Burton
                                        ,                                                                                                                     Mike Johnson";77;2005;ABD;$118,090,836;"Tim Burton
                                        ";Kas?m;autumn;#YOK
167;Fetih 1453;Aksiyon;Faruk Aksoy;165;2012;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
168;Hitch;Dram;Andy Tennant;118;2005;ABD;$371,594,210;Kevin Bisch;Mart;spring;0
169;The Matrix Revolutions;Bilim Kurgu;"Lilly Wachowski
                                        ,                                                                                                                     Lana Wachowski";129;2003;ABD;$427,343,298;"Lilly Wachowski
                                        ";Kas?m;autumn;#YOK
170;Kill Bill Vol. 2;Aksiyon;Quentin Tarantino;136;2004;ABD;#YOK;#YOK;#YOK;#YOK;1
172;The Chronicles of Narnia: The Lion, The Witch and the Wardrobe;Aile;Andrew Adamson;143;2005;Multi Nation;$745,013,115;"Andrew Adamson
                                        ";Ocak;winter;0
173;Sin City;Aksiyon;"Frank Miller
                                        ,                                                                                                                     Quentin Tarantino
                                        ,                                                                                                                     Robert Rodriguez";124;2005;ABD;$158,733,820;Frank Miller;Temmuz;summer;#DE?ER!
174;The Devil Wears Prada;Dram;David Frankel;109;2006;Multi Nation;$326,705,902;Aline Brosh McKenna;Ekim;autumn;0
175;Resident Evil: Apocalypse;Bilim Kurgu;Alexander Witt;94;2004;Multi Nation;$129,342,769;Paul W.S. Anderson;Aral?k;winter;0
179;?ncir Reçeli;Dram;Aytaç A??rlar;95;2011;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
180;Saw 5;Gerilim;David Hackl;92;2008;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
181;Night At The Museum;Aile;Shawn Levy;108;2006;Multi Nation;$574,480,841;Thomas Lennon;Aral?k;winter;0
182;Final Destination 3;Gizem;James Wong;93;2006;Multi Nation;$118,890,272;"Glen Morgan
                                        ";Nisan;spring;0
183;500 Days Of Summer;Dram;Marc Webb;95;2009;ABD;$60,722,734;"Scott Neustadter
                                        ";Ekim;autumn;0
184;The Terminal;Dram;Steven Spielberg;129;2004;ABD;$218,685,607;"Jeff Nathanson
                                        ";Eylül;autumn;1
185;The Lake House;Dram;Alejandro Agresti;99;2006;Multi Nation;$114,830,111;David Auburn;A?ustos;summer;0
186;My Name is Khan;Dram;Karan Johar;268;2010;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
187;The Chronicles of Narnia: Prince Caspian;Aile;Andrew Adamson;150;2008;Multi Nation;$419,665,568;"Andrew Adamson
                                        ";Temmuz;summer;0
188;X-Men: The Last Stand;Bilim Kurgu;Brett Ratner;104;2006;ABD;$460,435,291;"Zak Penn
                                        ";May?s;spring;0
189;Percy Jackson & The Olympians: The Lightning Thief;Aile;Chris Columbus;118;2010;ABD;$226,497,209;"Craig Titley
                                        ";?ubat;winter;0
190;Underworld;Aksiyon;Len Wiseman;122;2003;Multi Nation;$95,708,457;"Len Wiseman
                                        ";Ocak;winter;0
191;Public Enemies;Aksiyon;Michael Mann;140;2009;Multi Nation;$214,104,620;"Michael Mann
                                        ";Temmuz;summer;0
192;El laberinto del fauno;Dram;Guillermo del Toro;118;2006;Multi Nation;#YOK;#YOK;#YOK;#YOK;0
193;Shrek;Animasyon;"Andrew Adamson
                                        ,                                                                                                                     Vicky Jenson";90;2001;ABD;$484,409,218;"Ted Elliott
                                        ";Haziran;summer;#YOK
194;Ghajini;Aksiyon;A.R. Murugadoss;186;2008;Hindistan;$38,316,584;"A.R. Murugadoss
                                        ";Aral?k;winter;0
195;The Transporter;Aksiyon;Corey Yuen;92;2002;Multi Nation;$43,928,932;"Luc Besson
                                        ";Aral?k;winter;0
196;Van Helsing;Aksiyon;Stephen Sommers;132;2004;ABD;$300,157,638;Stephen Sommers;May?s;spring;0
197;The Matrix Reloaded;Bilim Kurgu;"Lilly Wachowski
                                        ,                                                                                                                     Lana Wachowski";138;2003;ABD;$739,412,035;"Lilly Wachowski
                                        ";May?s;spring;#YOK
198;The Final Destination;Gizem;David R. Ellis;82;2009;ABD;$186,167,139;"Eric Bress
                                        ";A?ustos;summer;0
199;Remember Me;Dram;Allen Coulter;113;2010;ABD;$56,032,889;Will Fetters;Nisan;spring;0
201;Jumper;Bilim Kurgu;Doug Liman;88;2008;Multi Nation;$225,132,113;"David S. Goyer
                                        ";Mart;spring;0
202;Million Dollar Baby;Dram;Clint Eastwood;132;2004;Multi Nation;$216,763,646;"Paul Haggis
                                        ";?ubat;winter;1
203;Iss?z Adam;Dram;Ça?an Irmak;115;2008;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
205;Recep ?vedik;Komedi;Togan Gökbakar;90;2008;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
206;Cast Away;Dram;Robert Zemeckis;143;2000;ABD;$429,632,142;William Broyles Jr.;Aral?k;winter;0
207;S?nav;Dram;Ömer Faruk Sorak;120;2006;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
208;The Hangover 2;Komedi;Todd Phillips;102;2011;ABD;#YOK;#YOK;#YOK;#YOK;0
209;Ocean's Eleven;Gerilim;Steven Soderbergh;116;2001;ABD;$450,717,150;"George Clayton Johnson
                                        ";?ubat;winter;0
210;Eyyvah Eyvah;Komedi;Hakan Algül;99;2010;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
211;Saw VI;Gerilim;Kevin Greutert;90;2009;Multi Nation;$68,234,154;"Patrick Melton
                                        ";Aral?k;winter;0
212;I, Robot;Bilim Kurgu;Alex Proyas;115;2004;Multi Nation;$353,133,898;"Akiva Goldsman
                                        ";Ekim;autumn;0
213;Scary Movie;Komedi;Keenen Ivory Wayans;88;2000;ABD;$278,019,771;"Marlon Wayans
                                        ";Ekim;autumn;0
214;Pride And Prejudice;Dram;Joe Wright;127;2005;Multi Nation;#YOK;#YOK;#YOK;#YOK;0
215;The Other Boleyn Girl;Dram;Justin Chadwick;115;2008;Multi Nation;$78,199,679;Peter Morgan;May?s;spring;0
216;Big Fish;Dram;Tim Burton;125;2003;ABD;$123,218,424;John August;Ocak;winter;0
217;Iron Man 3;Bilim Kurgu;Shane Black;132;2013;ABD;$1,214,811,252;"Shane Black
                                        ";May?s;spring;0
218;Source Code;Bilim Kurgu;Duncan Jones;94;2011;Multi Nation;$147,332,697;Ben Ripley;Nisan;spring;0
220;Kaybedenler Kulübü;Dram;Tolga Örnek;105;2011;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
221;Transporter 3;Aksiyon;Olivier Megaton;104;2008;Multi Nation;$108,979,549;"Luc Besson
                                        ";Aral?k;winter;0
222;X-Men;Bilim Kurgu;Bryan Singer;104;2000;ABD;$296,339,528;"Bryan Singer
                                        ";Temmuz;summer;0
224;My Sister's Keeper;Dram;Nick Cassavetes;109;2009;ABD;$95,714,875;"Nick Cassavetes
                                        ";A?ustos;summer;0
225;Journey To The Center Of The Earth 3d;Bilim Kurgu;Eric Brevig;93;2008;ABD;#YOK;#YOK;#YOK;#YOK;0
226;Step Up 2: The Streets;Dram;John Chu;98;2008;ABD;$150,816,700;"Toni Ann Johnson
                                        ";Nisan;spring;0
227;Final Destination 2;Gizem;David R. Ellis;90;2003;ABD;$90,941,129;"Eric Bress
                                        ";A?ustos;summer;0
228;The Mummy Returns;Aksiyon;Stephen Sommers;130;2001;ABD;$433,013,274;Stephen Sommers;May?s;spring;0
230;The Italian Job;Aksiyon;F. Gary Gray;110;2003;Multi Nation;$176,070,171;"Troy Kennedy-Martin
                                        ";Ekim;autumn;0
231;Cinderella Man;Dram;Ron Howard;144;2005;ABD;$108,539,911;"Akiva Goldsman
                                        ";Eylül;autumn;0
232;Bourne Ultimatum;Aksiyon;Paul Greengrass;115;2007;Multi Nation;#YOK;#YOK;#YOK;#YOK;0
233;Scary Movie 4;Komedi;David Zucker;83;2006;ABD;$178,262,620;"Craig Mazin
                                        ";A?ustos;summer;0
234;The Bucket List;Dram;Rob Reiner;97;2007;ABD;$175,372,502;Justin Zackham;?ubat;winter;0
235;The Mummy: Tomb Of The Dragon Emperor;Aksiyon;Rob Cohen;112;2008;Multi Nation;$403,449,830;"Alfred Gough
                                        ";A?ustos;summer;0
236;Ocean's Thirteen;Gerilim;Steven Soderbergh;122;2007;ABD;$311,312,624;"Brian Koppelman
                                        ";Haziran;summer;0
237;Crank;Aksiyon;"Brian Taylor
                                        ,                                                                                                                     Mark Neveldine";88;2006;ABD;$42,931,041;"Brian Taylor
                                        ";Eylül;autumn;#YOK
238;Snatch;Komedi;Guy Ritchie;103;2000;Multi Nation;$83,557,872;Guy Ritchie;Kas?m;autumn;0
239;Next;Bilim Kurgu;Lee Tamahori;96;2007;ABD;$77,621,983;"Paul Bernbaum
                                        ";Nisan;spring;0
240;Lord Of War;Dram;Andrew Niccol;122;2005;Multi Nation;$72,617,068;Andrew Niccol;Ekim;autumn;0
241;August Rush;Aile;Kirsten Sheridan;114;2007;ABD;$66,122,026;"James V. Hart
                                        ";?ubat;winter;0
